able,capable,,,,,
account,compte,,,,,
act,acte,,,,,
action,action,,,,,
added,ajouté,,,,,
afraid,effrayé,,,,,
afternoon,après-midi,,,,,
age,âge,,,,,
agree,accorder,,,,,
agreement,accord,,,,,
air,air,,,,,
allow,accorder,,,,,
allowed,autorisé,permis,,,,
almost,presque,,,,,
alone,seul,,,,,
already,déjà,,,,,
always,toujours,,,,,
America,Amérique,,,,,
American,Américain,américain,,,,
among,parmi,,,,,
ancient,ancien,ancienne,,,,
answer,réponse,,,,,
answered,répondu,,,,,
appear,apparaître,apparition,,,,
appearance,apparence,,,,,
appeared,apparu,,,,,
arm,bras,,,,,
arms,bras,,,,,
army,armée,,,,,
around,autour,,,,,
art,art,,,,,
ask,demander,,,,,
attempt,tentative,,,,,
attention,attention,,,,,
author,auteur,,,,,
authority,autorité,,,,,
away,loin,,,,,
bad,mauvais,,,,,
battle,bataille,,,,,
bear,porter,,,,,
beautiful,beau,belle,,,,
beauty,beauté,,,,,
became,devenu,,,,,
become,devenir,,,,,
bed,lit,,,,,
begin,commencer,,,,,
beginning,début,,,,,
believe,croire,,,,,
best,meilleur,,,,,
better,meilleur,,,,,
beyond,par-delà,,,,,
big,grand,gros,,,,
bit,morceau,,,,,
black,noir,,,,,
blood,sang,,,,,
blue,bleu,,,,,
boat,bateau,,,,,
body,corps,,,,,
book,livre,,,,,
books,livres,,,,,
born,né,née,,,,
boy,garçon,,,,,
boys,garçons,,,,,
break,casser,,,,,
breath,respiration,,,,,
bright,brillant,,,,,
bring,apporter,,,,,
british,britannique,,,,,
broken,cassé,brisé,,,,
brother,frère,,,,,
brown,brun,marron,,,,
business,affaire,,,,,
call,appeler,,,,,
camp,camp,,,,,
carry,porter,,,,,
case,cas,,,,,
cases,cas,,,,,
caught,attrapé,,,,,
cause,cause,,,,,
century,siècle,,,,,
certain,certain,,,,,
certainly,certainement,,,,,
chair,chaise,,,,,
chance,occasion,,,,,
change,changement,,,,,
character,caractère,,,,,
charge,charge,,,,,
Charles,Charles,,,,,
chief,chef,,,,,
child,enfant,,,,,
children,enfants,,,,,
Christ,Christ,,,,,
Christian,chrétien,chrétienne,,,,
church,église,,,,,
circumstances,circonstances,,,,,
city,ville,,,,,
clear,clair,,,,,
close,fermer,,,,,
closed,fermé,,,,,
cold,froid,,,,,
come,venir,,,,,
command,commande,,,,,
common,commun,,,,,
company,compagnie,,,,,
condition,condition,,,,,
conduct,conduire,,,,,
considerable,considérable,,,,,
considered,considéré,,,,,
continued,continué,,,,,
conversation,conversation,,,,,
copies,copies,,,,,
copy,copie,,,,,
copyright,copyright,,,,,
corner,coin,,,,,
cost,coût,,,,,
country,pays,,,,,
course,cours,,,,,
court,cour,,,,,
covered,couvert,,,,,
cried,pleuré,,,,,
cry,pleurer,,,,,
cut,couper,,,,,
danger,danger,,,,,
dark,sombre,,,,,
date,date,,,,,
daughter,fille,,,,,
day,jour,journée,,,,
days,jours,journées,,,,
dead,mort,,,,,
dear,cher,,,,,
death,mort,,,,,
declared,déclaré,,,,,
deep,profond,,,,,
degree,degré,,,,,
desire,désir,,,,,
determined,déterminé,,,,,
die,mourir,,,,,
different,différent,,,,,
difficult,difficile,,,,,
dinner,dîner,,,,,
direction,direction,,,,,
discovered,découvert,,,,,
distance,distance,,,,,
domain,domaine,,,,,
donations,dons,,,,,
door,porte,,,,,
doubt,doute,,,,,
Dr,Dr.,,,,,
drawn,tracé,,,,,
dress,robe,,,,,
due,due,dû,,,,
duke,duc,,,,,
duty,devoir,,,,,
earth,terre,,,,,
easily,facilement,,,,,
east,est,,,,,
eat,manger,,,,,
effect,effet,,,,,
effort,effort,,,,,
efforts,efforts,,,,,
eight,huit,,,,,
electronic,électronique,,,,,
end,fin,,,,,
enemy,ennemi,,,,,
England,Angleterre,,,,,
English,Anglais,Anglaise,anglais,anglaise,,
entered,entré,,,,,
entirely,entièrement,complètement,,,,
equal,égal,,,,,
escape,s'échapper,,,,,
etc.,etc.,,,,,
Europe,Europe,,,,,
evening,soir,,,,,
everything,tout,,,,,
evil,mal,,,,,
ex,ex,,,,,
exclaimed,exclamé,,,,,
existence,existence,,,,,
expected,attendu,,,,,
experience,expérience,,,,,
expression,expression,,,,,
eye,œil,,,,,
eyes,yeux,,,,,
face,visage,,,,,
fact,fait,,,,,
fair,juste,,,,,
faith,foi,,,,,
fall,tomber,,,,,
family,famille,,,,,
far,loin,lointain,,,,
fast,rapide,,,,,
father,père,,,,,
fear,crainte,,,,,
feel,sentir,,,,,
feet,pieds,,,,,
field,champ,,,,,
fifty,cinquante,,,,,
fight,combattre,,,,,
figure,figure,,,,,
filled,rempli,,,,,
find,trouver,,,,,
fire,feu,,,,,
first,premier,première,,,,
five,cinq,,,,,
fixed,fixé,,,,,
floor,sol,,,,,
flowers,fleurs,,,,,
follow,suivre,,,,,
followed,suivi,,,,,
following,suivant,,,,,
food,nourriture,,,,,
foot,pied,,,,,
force,force,,,,,
forget,oublier,,,,,
form,forme,,,,,
formed,formé,,,,,
former,ancien,,,,,
fortune,destin,,,,,
found,trouvé,,,,,
four,quatre,,,,,
France,France,,,,,
free,libre,,,,,
French,Français,Française,français,française,,
fresh,frais,,,,,
friend,ami,amie,,,,
friends,amis,,,,,
full,complet,,,,,
future,futur,,,,,
garden,jardin,,,,,
general,général,générale,,,,
generally,généralement,,,,,
gentleman,monsieur,,,,,
george,George,,,,,
German,Allemand,Allemande,allemand,allemande,,
getting,obtention,,,,,
girl,fille,,,,,
girls,filles,,,,,
give,donner,,,,,
given,donné,,,,,
giving,généreux,,,,,
glad,content,,,,,
go,aller,,,,,
god,dieu,,,,,
gold,or,,,,,
gone,allé,,,,,
good,bon,bonne,,,,
government,gouvernement,,,,,
grave,tombe,,,,,
great,grand,,,,,
green,vert,,,,,
grew,grandi,,,,,
ground,sol,,,,,
Gutenberg,Gutenberg,,,,,
hair,cheveu,cheveux,,,,
half,demi,moitié,,,,
hall,hall,,,,,
hand,main,,,,,
hands,mains,,,,,
happiness,bonheur,,,,,
happy,heureuse,heureux,,,,
hard,difficile,dur,,,,
head,tête,,,,,
hear,entendre,,,,,
heart,cœur,,,,,
heaven,paradis,,,,,
heavy,lourd,,,,,
held,tenu,,,,,
help,aide,,,,,
Henry,Henri,,,,,
high,haut,,,,,
hill,colline,,,,,
history,histoire,,,,,
home,maison,,,,,
honour,honneur,,,,,
hope,espoir,,,,,
horse,cheval,,,,,
horses,chevaux,,,,,
hot,brûlant,,,,,
hour,heure,,,,,
hours,heures,,,,,
house,maison,,,,,
houses,maisons,,,,,
human,humain,,,,,
hundred,cent,,,,,
husband,mari,,,,,
idea,idée,,,,,
ill,malade,,,,,
immediately,immédiatement,,,,,
important,important,,,,,
impossible,impossible,,,,,
Indian,Indien,Indienne,indien,indienne,,
individual,individuel,,,,,
influence,influence,,,,,
information,information,informations,,,,
intended,prévu,,,,,
interest,intérêt,,,,,
island,île,,,,,
joy,joie,,,,,
just,juste,,,,,
justice,justice,,,,,
keep,garder,,,,,
kept,tenu,,,,,
killed,tué,,,,,
kind,genre,sorte,,,,
king,roi,,,,,
know,connaître,savoir,,,,
knowledge,connaissance,,,,,
known,connu,,,,,
la,la,,,,,
ladies,dames,,,,,
lady,dame,,,,,
land,pays,,,,,
language,langage,langue,,,,
large,grand,,,,,
last,dernier,,,,,
late,tard,,,,,
latter,dernier,,,,,
laugh,rire,,,,,
laughed,ri,,,,,
law,loi,,,,,
laws,lois,,,,,
learn,apprendre,,,,,
learned,appris,,,,,
leave,partir,quitter,,,,
leaves,feuilles,,,,,
length,longueur,,,,,
less,moins,,,,,
letter,lettre,,,,,
